<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gardenia">,Gardenia,Gardenia jasminoides
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/garlic">,Garlic,Allium sativum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/geranium">,Geranium,Pelargonium species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/geranium-leaf-aralia">,Geranium-Leaf Aralia,Polyscias guilfoylei
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/giant-dracaena">,Giant Dracaena,Cordyline australis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/giant-dumb-cane">,Giant Dumb Cane,Dieffenbachia amoena
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/giant-hogweed">,Giant Hogweed,Heracleum maximum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/glacier-ivy">,Glacier Ivy,Hedera helix
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gladiola">,Gladiola,Gladiolus species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gloriosa-lily">,Gloriosa Lily,Gloriosa superba
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gold-dieffenbachia">,Gold Dieffenbachia,Dieffenbachia picta
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/gold-dust-dracaena">,Gold Dust Dracaena,Dracaena surculosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/golden-birds-nest">,Golden Birds Nest,Sansevieria trifasciata
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/golden-pothos">,Golden Pothos,Epipremnum aureum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/golden-ragwort">,Golden Ragwort,Senecio species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/good-luck-plant">,Good Luck Plant,Oxalis spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/grapefruit">,Grapefruit,Citrus paradisii
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/grass-palm">,Grass Palm,Cordyline australis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/greater-ammi">,Greater Ammi,Ammi majus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/green-gold-naphthysis">,Green Gold Naphthysis,Syngonium podophyllum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/ground-apple">,Ground Apple,Anthemis nobilis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/groundsel">,Groundsel,Senecio species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hahns-self-branching-english-ivy">,Hahn's Self Branching English Ivy,Hedera helix
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hashish">,Hashish,Cannabis sativa
